value,type,id,key
turning_circle,regular,55964214,highway
turning_circle,regular,56007304,highway
turning_circle,regular,56011855,highway
turning_circle,regular,56018727,highway
turning_circle,regular,56020094,highway
traffic_signals,regular,56020458,highway
Bing,regular,56020458,source
turning_circle,regular,56022305,highway
turning_circle,regular,56025161,highway
turning_circle,regular,56025537,highway
turning_circle,regular,56034118,highway
turning_circle,regular,56034736,highway
turning_circle,regular,56037441,highway
turning_circle,regular,56041083,highway
turning_circle,regular,56046764,highway
Bing/TIGER 2012,regular,56047858,source
turning_circle,regular,56048299,highway
turning_circle,regular,56049168,highway
turning_circle,regular,56053335,highway
turning_circle,regular,56054427,highway
turning_circle,regular,56059701,highway
turning_circle,regular,56062250,highway
turning_circle,regular,56065481,highway
turning_circle,regular,56067485,highway
bump,regular,56069658,traffic_calming
bump,regular,56069680,traffic_calming
turning_circle,regular,56074978,highway
turning_circle,regular,56078005,highway
turning_circle,regular,56080518,highway
turning_circle,regular,56083073,highway
turning_circle,regular,56096354,highway
turning_circle,regular,56097564,highway
turning_circle,regular,56102360,highway
level_crossing,regular,56103219,railway
turning_circle,regular,56110472,highway
Bing,regular,56110472,source
turning_circle,regular,56114186,highway
turning_circle,regular,56115014,highway
turning_circle,regular,56119575,highway
level_crossing,regular,56121088,railway
turning_circle,regular,56124758,highway
turning_circle,regular,56125345,highway
turning_circle,regular,56125515,highway
turning_circle,regular,56128436,highway
turning_circle,regular,56134347,highway
turning_circle,regular,56141832,highway
turning_circle,regular,56143424,highway
turning_circle,regular,56157582,highway
turning_circle,regular,56169922,highway
Bing/TIGER 2012,regular,56172467,source
level_crossing,regular,56172840,railway
turning_circle,regular,56175699,highway
bump,regular,56176096,traffic_calming
turning_circle,regular,56176727,highway
stop,regular,110346648,highway
USGS Large Scale Imagery,regular,110346648,source
motorway_junction,regular,110355854,highway
462A,regular,110355854,ref
motorway_junction,regular,110361467,highway
yes,regular,110361467,noref
traffic_signals,regular,110369616,highway
35,addr,110370050,housenumber
Viento Way,addr,110370050,street
turning_circle,regular,110376473,highway
traffic_signals,regular,110379455,highway
traffic_signals,regular,110382343,highway
turning_circle,regular,110382452,highway
turning_circle,regular,110382671,highway
traffic_signals,regular,110384129,highway
traffic_signals,regular,110384152,highway
traffic_signals,regular,110385326,highway
turning_circle,regular,110386184,highway
turning_circle,regular,110386730,highway
Mill Valley,addr,110388140,city
14,addr,110388140,housenumber
94941,addr,110388140,postcode
ca,addr,110388140,state
Saint Jude Road,addr,110388140,street
traffic_signals,regular,110388957,highway
stop,regular,110390451,highway
USGS Large Scale Imagery,regular,110390451,source
all,regular,110390451,stop
traffic_signals,regular,110394285,highway
turning_circle,regular,110395122,highway
traffic_signals,regular,110395919,highway
signal,regular,110395919,traffic_signals
stop,regular,110397451,highway
traffic_signals,regular,110402355,highway
turning_circle,regular,110402849,highway
stop,regular,110403067,highway
stop,regular,110405326,highway
USGS Large Scale Imagery,regular,110405326,source
all,regular,110405326,stop
traffic_signals,regular,110406649,highway
turning_circle,regular,110407489,highway
gate,regular,110409642,barrier
traffic_signals,regular,110409946,highway
turning_circle,regular,110412238,highway
traffic_signals,regular,110413968,highway
yes,regular,110414047,noexit
USGS Large Scale Imagery,regular,110414047,source
forward,regular,110415146,direction
Mapillary,regular,110415146,source
US:R3-17,regular,110415146,traffic_sign
forward,regular,110415174,direction
Mapillary,regular,110415174,source
US:OM-3L;US:OM-3R,regular,110415174,traffic_sign
turning_circle,regular,110415758,highway
turning_circle,regular,110415887,highway
